!SIL sil
<UNK> spn
żal	Z a l
ideały	i d e a w i2
zmartwychwstanie	z m a r t f i2 h v s t a n i e
watch	v a t h
wąwozy	v oc5 v o z i2
spłodzili	s p w o dzj i l j
opór	o p u r
trzy	t S i2
ku	k u
lokomocji	l o k o m o c j i
pieśń	p i e sj n~
wykorzystywany	v i2 k o Z i2 s t i2 v a n i2
roli	r o l j
czasem	tS a s e m
rozpaczy	r o z p a tS i2
postanowiło	p o s t a n o v i w o
wadze	v a dz e
udostępniają	u d o s t eo5 p n i a j oc5
kobiety	k o b i e t i2
zdjęcia	z d j eo5 tsj a
cosmo	c o s m o
mięśnie	m i eo5 sj n i e
zamku	z a m k u
misternie	m i s t e r n i e
obu	o b u
współczesnej	v s p u w tS e s n e j
1998	v i eo5 t eo5 tsj e
wszystkie	v S i2 s t k i e
znajomym	z n a j o m i2 m
obcy	o b c i2
żony	Z o n i2
pstryk	p s t r i2 k
jeśli	j e sj l j
byt	b i2 t
wręcz	v r eo5 tS
rozstawionymi	r o z s t a v i o n i2 m i
zbladł	z b l a d w
autentyczności	a u t e n t i2 tS n o sj tsj i
słuchać	s w u h a tsj
lekcja	l e k c j a
gronie	g r o n i e
czującej	tS u j oc5 c e j
króla	k r u l a
doskonalić	d o s k o n a l j tsj
cesarzowi	c e s a Z o v i
niego	n i e g o
wokół	v o k u w
ręką	r eo5 k oc5
niezwyciężonego	n i e z v i2 tsj eo5 Z o n e g o
zatrudnionemu	z a t r u d n i o n e m u
napady	n a p a d i2
każda	k a Z d a
zwiedzić	z v i e dzj i tsj
wpisane	v p i s a n e
kiedykolwiek	k i e d i2 k o l v i e k
prawda	p r a v d a
ułatwi	u w a t f i
różne	r u Z n e
odtąd	o d t oc5 d
g	g
wojownik	v o j o v n i k
przeoczy	p S e o tS i2
metodę	m e t o d e
oparcie	o p a r tsj e
mam	m a m
gel	g e l
przemieniła	p S e m i e n i w a
taką	t a k oc5
młoda	m w o d a
piątą	p i oc5 t oc5
sebastiana	s e b a s t j a n a
racjonalnie	r a c j o n a l n i e
okolicznościach	o k o l j tS n o sj tsj a h
spraw	s p r a v
shi-king	s h j k i n g
przypomina	p S i2 p o m i n a
zgadzam	z g a dz a m
kolacja	k o l a c j a
należałoby	n a l e Z a w o b i2
hohenlohe	h o h e n l o h e
dziennikarzom	dzj e n n i k a Z o m
francuzem	f r a n c u z e m
podszczuje	p o d S tS u j e
oka	o k a
litości	l j t o sj tsj i
mową	m o v oc5
rękach	r eo5 k a h
postać	p o s t a tsj
dantego	d a n t e g o
głową	g w o v oc5
końca	k o n~ c a
taka	t a k a
jedynaczką	j e d i2 n a tS k oc5
plecy	p l e c i2
rozmiarów	r o z m i a r u v
szybko	S i2 b k o
nawyki	n a v i2 k i
technikami	t e h n i k a m i
rzucić	Z u tsj i tsj
sklepie	s k l e p i e
powiedzą	p o v i e dz oc5
majów-	m a j u v
oddać	o d d a tsj
kończy	k o n~ tS i2
wróć	v r u tsj
katastroficznie	k a t a s t r o f i tS n i e
zmierzch	z m i e Z h
pojęcia	p o j eo5 tsj a
urodzony	u r o dz o n i2
się	sj i e
ukaże	u k a Z e
przedstawienie	p S e d s t a v i e n i e
ruskina	r u s k i n a
dopuszcza	d o p u S tS a
ofierze	o f i e Z e
director	d j r e c t o r
skakać	s k a k a tsj
czuły	tS u w i2
tabliczkę	t a b l j tS k e
głęboką	g w eo5 b o k oc5
dziobie	dzj o b i e
modlitwę	m o d l j t f e
p	p
pojąwszy	p o j oc5 v S i2
dreamweavera-	d r e a m v e a f e r a e
mamy	m a m i2
ryju	r i2 j u
przekroczone	p S e k r o tS o n e
wystarczająca	v i2 s t a r tS a j oc5 c a
zapewnia	z a p e v n i a
myślisz	m i2 sj l j S
skazany	s k a z a n i2
przyciągniesz	p S i2 tsj oc5 g n i e S
korzyści	k o Z i2 sj tsj i
cieni	tsj e n i
przeciętny	p S e tsj eo5 t n i2
sobą	s o b oc5
elle	e l l e
pieniędzy	p i e n i eo5 dz i2
wypączkowywanie	v i2 p oc5 tS k o v i2 v a n i e
leciały	l e tsj a w i2
duszy	d u S i2
wiejącego	v i e j oc5 c e g o
organizm	o r g a n i z m
drgające	d r g a j oc5 c e
śmieci	sj m i e tsj i
los	l o s
arcydzieł	a r c i2 dzj e w
zwłok	z v w o k
narasta	n a r a s t a
rozpoznaje	r o z p o z n a j e
stosunki	s t o s u n k i
powiedzenia	p o v i e dz e n i a
obecność	o b e c n o sj tsj
dawidowi	d a v i d o v i
50-metrowy	p i t e m e t r o v i2
uczą	u tS oc5
budzą	b u dz oc5
wpływają	v p w i2 v a j oc5
przeklęta	p S e k l eo5 t a
okazuje	o k a z u j e
ćwiczenie	tsj v i tS e n i e
nimfomania	n i m f o m a n i a
śmiertelnika	sj m i e r t e l n i k a
bezradność	b e z r a d n o sj tsj
potrzebne	p o t S e b n e
stało	s t a w o
tragedii	t r a g e d j i
kobietą	k o b i e t oc5
użyciem	u Z i2 tsj e m
wiku	v i k u
dodatku	d o d a t k u
l	l
boga	b o g a
wiedzieć	v i e dzj e tsj
grekom	g r e k o m
menda	m e n d a
wynika	v i2 n i k a
milczeć	m i l tS e tsj
góry	g u r i2
skierował	s k i e r o v a w
dwadzieścia	d v a dzj e sj tsj a
podatny	p o d a t n i2
zmiany	z m i a n i2
ostatnich	o s t a t n i h
napotkałeś	n a p o t k a w e sj
poświęca	p o sj v i eo5 c a
mięsa	m i eo5 s a
niecnym	n i e c n i2 m
rozstania	r o z s t a n i a
starej	s t a r e j
120	s t o d t
odręcznie	o d r eo5 tS n i e
odkryć	o t k r i2 tsj
matko	m a t k o
obmyty	o b m i2 t i2
pragniemy	p r a g n i e m i2
rozwiązanie	r o z v i oc5 z a n i e
układem	u k w a d e m
transclucide	t r a n s c l u tsj i d e
firmach	f i r m a h
wierzący	v i e Z oc5 c i2
tamtych	t a m t i2 h
małżeństwo	m a w Z e n~ s t f o
badaczy	b a d a tS i2
poradnik	p o r a d n i k
8	e
kraju	k r a j u
programów	p r o g r a m u v
groźne	g r o zj n e
miedzi	m i e dzj i
zwyczaju	z v i2 tS a j u
kałem	k a w e m
ludzkich	l u dz k i h
doceniony	d o c e n i o n i2
postanowił	p o s t a n o v i w
skórach	s k u r a h
pogoni	p o g o n i
arystoteles	a r i2 s t o t e l e s
książę	k tsj oc5 Z e
poznawanie	p o z n a v a n i e
bolesława	b o l e s w a v a
jasna	j a s n a
podłogi	p o d w o g i
dziadkiem	dzj a t k i e m
popędem	p o p eo5 d e m
narzędzia	n a Z eo5 dzj a
dłoni	d w o n i
lustro	l u s t r o
wodę	v o d e
naszej	n a S e j
oryginalny	o r i2 g i n a l n i2
zawodowca-	z a v o d o v c a e
policzków	p o l j tS k u v
listy	l j s t i2
bramy	b r a m i2
różnią	r u Z n i oc5
lata	l a t a
chaotyczna	h a o t i2 tS n a
szpecące	S p e c oc5 c e
oporni	o p o r n i
spotyka	s p o t i2 k a
szczęściu	S tS eo5 sj tsj u
mężczyzn	m eo5 Z tS i2 z n
pozostałe	p o z o s t a w e
drużyny	d r u Z i2 n i2
muzycznie	m u z i2 tS n i e
zbuntowaną	z b u n t o v a n oc5
zgromadzone	z g r o m a dz o n e
oczy	o tS i2
dali	d a l j
długi	d w u g i
wypuściła	v i2 p u sj tsj i w a
de	d e
cierpię	tsj e r p i e
deskę	d e s k e
byle	b i2 l e
przetrwa	p S e t r v a
pustkowia	p u s t k o v i a
zmartwychwstania	z m a r t f i2 h v s t a n i a
nawet	n a v e t
prezydenta	p r e z i2 d e n t a
stronach	s t r o n a h
donosy-	d o n o s i2
spodziewajmy	s p o dzj e v a j m i2
doskonale	d o s k o n a l e
trud	t r u d
rozległej	r o z l e g w e j
znamię	z n a m i e
dość	d o sj tsj
wyodrębnił	v i2 o d r eo5 b n i w
najmniej	n a j m n i e j
trupiego	t r u p i e g o
żalów	Z a l u v
punkty	p u n k t i2
porcie	p o r tsj e
epoki	e p o k i
pryncypialność	p r i2 n c i2 p i a l n o sj tsj
alkoholu-	a l k o h o l u
pomiędzy	p o m i eo5 dz i2
wybranego	v i2 b r a n e g o
zbawić	z b a v i tsj
sprowadzona	s p r o v a dz o n a
niebyt	n i e b i2 t
ręku	r eo5 k u
trzewikami	t S e v i k a m i
rybackie	r i2 b a c k i e
wszystkę	v S i2 s t k e
albert	a l b e r t
zachowuje	z a h o v u j e
walecznie	v a l e tS n i e
przyznam	p S i2 z n a m
dzisiejszej	dzj i sj e j S e j
kijem	k i j e m
ułomna	u w o m n a
przechwalają	p S e h v a l a j oc5
funkcje	f u n k c j e
świadomy	sj v i a d o m i2
san	s a n
książęcej	k tsj oc5 Z eo5 c e j
wizjoner	v i z j o n e r
samym	s a m i2 m
ekspansywne	e k s p a n s i2 v n e
wypełnieniem	v i2 p e w n i e n i e m
cennych	c e n n i2 h
oddziaływania	o d dzj a w i2 v a n i a
węgły	v eo5 g w i2
zmywanie	z m i2 v a n i e
zyskasz	z i2 s k a S
sprawiać	s p r a v i a tsj
trudności	t r u d n o sj tsj i
ideału	i d e a w u
spoglądam	s p o g l oc5 d a m
ulu	u l u
blizny	b l j z n i2
komputerze	k o m p u t e Z e
rozpusty	r o z p u s t i2
przysiadł	p S i2 tsj a d w
nocach	n o c a h
życie	Z i2 tsj e
chłopi-	h w o p e e
otwartym	o t f a r t i2 m
nieograniczone	n i e o g r a n i tS o n e
pozycji	p o z i2 c j i
tonacji	t o n a c j i
burzycielce	b u Z i2 tsj e l c e
gest	g e s t
dawnych	d a v n i2 h
naukowych	n a u k o v i2 h
okładki	o k w a t k i
sukcesem	s u k c e s e m
samych	s a m i2 h
określa	o k r e sj l a
polskiej	p o l s k i e j
wprawiając	v p r a v i a j oc5 c
tłumaczenie	t w u m a tS e n i e
y	i2
łączności	w oc5 tS n o sj tsj i
ulegniesz	u l e g n i e S
miłe	m i w e
znieść	z n i e sj tsj
uśmiechnął	u sj m i e h n oc5 w
ciemnościach	tsj e m n o sj tsj a h
spojrzeć	s p o j Z e tsj
bazyliszka	b a z i2 l j S k a
dpi	d p i
uprawiają	u p r a v i a j oc5
księgi	k sj eo5 g i
in	i n
którym	k t u r i2 m
wrogów	v r o g u v
sam	s a m
dziesiątego	dzj e tsj oc5 t e g o
niemce	n i e m c e
udzielają	u dzj e l a j oc5
głowę	g w o v e
sy	s i2
pozbawić	p o z b a v i tsj
woda	v o d a
dzisiejszych	dzj i sj e j S i2 h
zaopatrując	z a o p a t r u j oc5 c
przyjemności-	p S i2 j e m n o sj tsj e
kormorany	k o r m o r a n i2
kontakty	k o n t a k t i2
ono	o n o
cara	c a r a
pooperacyjnej	p o o p e r a c i2 j n e j
przekonywał	p S e k o n i2 v a w
zwalczanego	z v a l tS a n e g o
uniwersalnym	u n i v e r s a l n i2 m
brak	b r a k
starają	s t a r a j oc5
nieboską	n i e b o s k oc5
cóż	c u S
chromosomalnie	h r o m o s o m a l n i e
prawego	p r a v e g o
józefa	j u z e f a
pojednanego	p o j e d n a n e g o
swoimi	s v o i m i
okna	o k n a
zajmuje	z a j m u j e
ze	z e
wówczas	v u v tS a s
podbija	p o d b i j a
wypływały"-	v i2 p w i2 v a w i2
pożyczyłem	p o Z i2 tS i2 w e m
animacji	a n i m a c j i
wypadłaś	v i2 p a d w a sj
kilkoma	k i l k o m a
szybowców	S i2 b o v c u v
duchową	d u h o v oc5
nieprzyjaciół	n i e p S i2 j a tsj u w
została	z o s t a w a
psalm	p s a l m
wyrwał	v i2 r v a w
źródłem	zj r u d w e m
mieczach	m i e tS a h
niebiańska	n i e b i a n~ s k a
zamykał	z a m i2 k a w
można	m o Z n a
utwór	u t f u r
wspólnym	v s p u l n i2 m
aniołowie	a n i o w o v i e
absurdalna	a b s u r d a l n a
spacerów	s p a c e r u v
katarzyna	k a t a Z i2 n a
franco	f r a n c o
poznanego	p o z n a n e g o
świata	sj v i a t a
lancer	l a n c e r
stań	s t a n~
modlitwą	m o d l j t f oc5
pierś	p i e r sj
reprezentowała	r e p r e z e n t o v a w a
apostolskiego	a p o s t o l s k i e g o
rybka:-	r i2 b k a e
dostojewskiego	d o s t o j e v s k i e g o
wcześniej	v tS e sj n i e j
szczera	S tS e r a
seksualnie	s e k s u a l n i e
upiłem	u p i w e m
bogarodzicy	b o g a r o dzj i c i2
k	k
ponoć	p o n o tsj
niż	n i S
przyrządzić	p S i2 Z oc5 dzj i tsj
niepotrzebnych	n i e p o t S e b n i2 h
rodu	r o d u
słynne	s w i2 n n e
wydarzeniem	v i2 d a Z e n i e m
źrenicę	zj r e n i c e
arcydziełami	a r c i2 dzj e w a m i
troszkę	t r o S k e
bawi	b a v i
zuchwała	z u h v a w a
ty	t i2
ministerstwa	m i n i s t e r s t f a
wcześniejszego	v tS e sj n i e j S e g o
dałeś	d a w e sj
dniach	d n i a h
jałowca	j a w o v c a
nauczysz	n a u tS i2 S
grzmoty	g Z m o t i2
końcowym	k o n~ c o v i2 m
lauder	l a u d e r
16	s t tsj e
wyłania	v i2 w a n i a
pora	p o r a
bezstronni	b e z s t r o n n i
sklepieniem	s k l e p i e n i e m
straszliwszy	s t r a S l j v S i2
laty	l a t i2
nikt	n i k t
wszechmogącym	v S e h m o g oc5 c i2 m
woli	v o l j
pewnie	p e v n i e
zainteresował	z a i n t e r e s o v a w
zmarł	z m a r w
przyjął	p S i2 j oc5 w
odbierana	o d b i e r a n a
głośników-satelitów	g w o sj n i k u v s a t e l j t u v
moralności	m o r a l n o sj tsj i
prorodzinne	p r o r o dzj i n n e
niemieckie	n i e m i e c k i e
drabinkę	d r a b i n k e
staje	s t a j e
współczesnym	v s p u w tS e s n i2 m
doprowadzających	d o p r o v a dz a j oc5 c i2 h
ażeby	a Z e b i2
horrory	h o r r o r i2
coelho	c o e l h o
zachowanie	z a h o v a n i e
mógł	m u g w
jakichś	j a k i h sj
wyleczy	v i2 l e tS i2
masywnych	m a s i2 v n i2 h
dunin	d u n i n
przed	p S e d
informację	i n f o r m a c j e
rozbudował	r o z b u d o v a w
paskudna	p a s k u d n a
przestajemy	p S e s t a j e m i2
najlepszym	n a j l e p S i2 m
próbowałeś	p r u b o v a w e sj
on-the-loose	o n t h e l o o s e
nury	n u r i2
tradycyjnie-	t r a d i2 c i2 j n i e e
pracowity	p r a c o v i t i2
twórca	t f u r c a
villa	f i l l a
powojennej	p o v o j e n n e j
mignęło	m i g n eo5 w o
cząstki	tS oc5 s t k i
mogła	m o g w a
zaczynają	z a tS i2 n a j oc5
odmienne	o d m i e n n e
krwawej	k r v a v e j
warszawski	v a r S a v s k i
prawa	p r a v a
naszego	n a S e g o
światowej	sj v i a t o v e j
sobą-	s o b oc5 e
światem	sj v i a t e m
stratofortress	s t r a t o f o r t r e S
wyraźniej	v i2 r a zj n i e j
milion	m i l j o n
dodania	d o d a n i a
artystą	a r t i2 s t oc5
shimmering	s h j m m e r j n g
my	m i2
tworem	t f o r e m
udowodnił	u d o v o d n i w
przemkną	p S e m k n oc5
trudne	t r u d n e
modlimy	m o d l j m i2
wytrzeźwieję	v i2 t S e zj v i e j e
wychodzi	v i2 h o dzj i
nawyków	n a v i2 k u v
wiekach	v i e k a h
bruno	b r u n o
zawiedzionej	z a v i e dzj o n e j
prawicy	p r a v i c i2
produkujących	p r o d u k u j oc5 c i2 h
napisać	n a p i s a tsj
łupy	w u p i2
niemożliwą	n i e m o Z l j v oc5
potrzeby	p o t S e b i2
głównej	g w u v n e j
wersje	v e r s j e
łupem	w u p e m
sebastian	s e b a s t j a n
głęboko	g w eo5 b o k o
wołanie	v o w a n i e
świętości	sj v i eo5 t o sj tsj i
wojciecha	v o j tsj e h a
szkołą	S k o w oc5
ksiąg	k tsj oc5 g
podróży	p o d r u Z i2
badacz	b a d a tS
powierzchowność	p o v i e Z h o v n o sj tsj
torturować	t o r t u r o v a tsj
uobecnia	u o b e c n i a
zmarłych	z m a r w i2 h
żyją	Z i2 j oc5
uderzał	u d e Z a w
niewyobrażalne	n i e v i2 o b r a Z a l n e
podejrzewać	p o d e j Z e v a tsj
dynamikę	d i2 n a m i k e
zabójczą	z a b u j tS oc5
ponad	p o n a d
jakoś	j a k o sj
przepadłego	p S e p a d w e g o
opłaca	o p w a c a
leszczyny	l e S tS i2 n i2
cel	c e l
wobec	v o b e c
schachingera	s h a h j n g e r a
układałem	u k w a d a w e m
dawna	d a v n a
wstydzi	v s t i2 dzj i
stalina	s t a l j n a
machiavelli	m a h j a f e l l j
zniszczył	z n i S tS i2 w
koniec-	k o n i e c e
odsuwają	o d s u v a j oc5
stoi	s t o i
zbudujemy	z b u d u j e m i2
bólem	b u l e m
chwyć	h v i2 tsj
obszar	o b S a r
stronie	s t r o n i e
nich	n i h
zabezpieczyć	z a b e z p i e tS i2 tsj
ogłoszeń	o g w o S e n~
zalaniem	z a l a n i e m
królestwo	k r u l e s t f o
młodocianej	m w o d o tsj a n e j
błąd	b w oc5 d
powiedział	p o v i e dzj a w
kontrolę	k o n t r o l e
tomasz	t o m a S
bogu	b o g u
wskazówka	v s k a z u v k a
ujęcia	u j eo5 tsj a
fosy	f o s i2
mocą	m o c oc5
wierzą	v i e Z oc5
predefiniowanych	p r e d e f i n i o v a n i2 h
obnażony	o b n a Z o n i2
jaką	j a k oc5
kontroli	k o n t r o l j
kubuś	k u b u sj
norek	n o r e k
otwarta	o t f a r t a
negatywne	n e g a t i2 v n e
m	m
szlachtę	S l a h t e
włochatą	v w o h a t oc5
do	d o
znajdziesz	z n a j dzj e S
tys	t i2 s
złotego	z w o t e g o
programie	p r o g r a m i e
wpływa	v p w i2 v a
mogę	m o g e
pyłku	p i2 w k u
rogu	r o g u
przetoczyć	p S e t o tS i2 tsj
gospodynią	g o s p o d i2 n i oc5
powstaje	p o v s t a j e
turyngii	t u r i2 n g i i
przepowiadać	p S e p o v i a d a tsj
chelsea	h e l s e a
błędnik	b w eo5 d n i k
prezydentem	p r e z i2 d e n t e m
nieobecność	n i e o b e c n o sj tsj
pielęgnacji	p i e l eo5 g n a c j i
wersja	v e r s j a
naprawdę	n a p r a v d e
przyjaciół	p S i2 j a tsj u w
powinniśmy	p o v i n n i sj m i2
wykształcenie	v i2 k S t a w c e n i e
falować	f a l o v a tsj
żywi	Z i2 v i
goethe	g o e t h e
ciemnoczerwonym	tsj e m n o tS e r v o n i2 m
sytuacje	s i2 t u a c j e
martwe	m a r t f e
osobą	o s o b oc5
jest	j e s t
miała	m i a w a
przyszłości	p S i2 S w o sj tsj i
zechcę	z e h c e
swoją	s v o j oc5
piekło	p i e k w o
pokorny	p o k o r n i2
typowo	t i2 p o v o
rainer	r a i n e r
silniejszy	sj i l n i e j S i2
przykrości	p S i2 k r o sj tsj i
tekst	t e k s t
cichy	tsj i h i2
waszego	v a S e g o
zdjęcie	z d j eo5 tsj e
władzy	v w a dz i2
okazali	o k a z a l j
przekonaj	p S e k o n a j
biorę	b i o r e
diamentów	d j a m e n t u v
sytuacjach	s i2 t u a c j a h
hormony	h o r m o n i2
swój	s v u j
moment	m o m e n t
nicość	n i c o sj tsj
operacja	o p e r a c j a
is	i s
cierpi	tsj e r p i
namagnesowana	n a m a g n e s o v a n a
martwej	m a r t f e j
swego	s v e g o
artysty	a r t i2 s t i2
zanurzonych	z a n u Z o n i2 h
urody	u r o d i2
usytuowany	u s i2 t u o v a n i2
tożsamości	t o Z s a m o sj tsj i
cosmodziewczyny	c o s m o dzj e v tS i2 n i2
zamachowi	z a m a h o v i
rilke	r j l k e
panelu	p a n e l u
niesłychanie	n i e s w i2 h a n i e
zbrodniczą	z b r o d n i tS oc5
stuprocentowa	s t u p r o c e n t o v a
zakręcił	z a k r eo5 tsj i w
użyteczność	u Z i2 t e tS n o sj tsj
aktorstwo	a k t o r s t f o
dwieście	d v i e sj tsj e
raczej	r a tS e j
klamry	k l a m r i2
captif	c a p t j f
ogarnąć	o g a r n oc5 tsj
ogranicza	o g r a n i tS a
brzmiały	b Z m i a w i2
względem	v z g l eo5 d e m
ochroniarze	o h r o n i a Z e
panie	p a n i e
zresztą	z r e S t oc5
milne'a	m i l n e a
teatr	t e a t r
zobaczę	z o b a tS e
znaleźć	z n a l e zj tsj
organy	o r g a n i2
enhanced	e n h a n c e d
genialną	g e n i a l n oc5
wzroku	v z r o k u
szalała	S a l a w a
emocji	e m o c j i
wyłaniają	v i2 w a n i a j oc5
stadionie	s t a d j o n i e
innym	i n n i2 m
naukom	n a u k o m
kogo	k o g o
kilkadziesiąt	k i l k a dzj e tsj oc5 t
zaradzić	z a r a dzj i tsj
pomieszczeń	p o m i e S tS e n~
przejrzał	p S e j Z a w
spokojnie	s p o k o j n i e
sygnałów	s i2 g n a w u v
kochając	k o h a j oc5 c
chętnie	h eo5 t n i e
ucisku	u tsj i s k u
rozpływa	r o z p w i2 v a
skruszony	s k r u S o n i2
kąpielowych	k oc5 p i e l o v i2 h
moje	m o j e
komedia	k o m e d j a
wiatr	v i a t r
samotna	s a m o t n a
obawom	o b a v o m
pożerał	p o Z e r a w
krescencjusz	k r e s c e n c j u S
zdania	z d a n i a
tyrolu	t i2 r o l u
konkretnym	k o n k r e t n i2 m
stare	s t a r e
pełnego	p e w n e g o
grodom	g r o d o m
sprytna	s p r i2 t n a
iwan	i v a n
pochłaniających	p o h w a n i a j oc5 c i2 h
dorobku	d o r o b k u
komornicy	k o m o r n i c i2
latach	l a t a h
przychodniom	p S i2 h o d n i o m
bryłami	b r i2 w a m i
drożynami	d r o Z i2 n a m i
trąbka-	t r oc5 b k a e
prostoty	p r o s t o t i2
popołudnia	p o p o w u d n i a
słowiańskiego	s w o v i a n~ s k i e g o
skinął	s k i n oc5 w
krwawą	k r v a v oc5
istnieć	i s t n i e tsj
istnieje	i s t n i e j e
romansu	r o m a n s u
hitlera-	h j t l e r a e
dolarów	d o l a r u v
płakał-	p w a k a w e
pachnącej	p a h n oc5 c e j
niewyrażalnego	n i e v i2 r a Z a l n e g o
arabski	a r a b s k i
morską	m o r s k oc5
sznureczkami	S n u r e tS k a m i
koziołków	k o zj o w k u v
ludzkość	l u dz k o sj tsj
rozpoczął	r o z p o tS oc5 w
von	f o n
odnośnikiem	o d n o sj n i k i e m
przetrwać	p S e t r v a tsj
odwołaniami	o d v o w a n i a m i
ogromne	o g r o m n e
rozmawiałeś	r o z m a v i a w e sj
zwalany	z v a l a n i2
molestowani	m o l e s t o v a n i
politycznych	p o l j t i2 tS n i2 h
faktem	f a k t e m
przeżywać	p S e Z i2 v a tsj
potrawach	p o t r a v a h
popijają	p o p i j a j oc5
tour	t o u r
dubbingiem	d u b b i n g i e m
pomyślałam	p o m i2 sj l a w a m
krzyżakom	k S i2 Z a k o m
opcja	o p c j a
umysłu	u m i2 s w u
choroby	h o r o b i2
moim	m o i m
ona	o n a
wszystkimi	v S i2 s t k i m i
głogowa	g w o g o v a
przyrostowe	p S i2 r o s t o v e
postradał	p o s t r a d a w
bezpośrednio	b e z p o sj r e d n i o
czujesz	tS u j e S
postępuje	p o s t eo5 p u j e
prawdzie	p r a v dzj e
grzegorz	g Z e g o S
nazywa	n a z i2 v a
przekazywał	p S e k a z i2 v a w
entuzjastów	e n t u z j a s t u v
którą	k t u r oc5
nazwał	n a z v a w
żona	Z o n a
masowo	m a s o v o
scena	s c e n a
musi	m u sj i
najśw	n a j sj v
kończyć	k o n~ tS i2 tsj
przerwę	p S e r v e
strzemiona	s t S e m i o n a
liczy	l j tS i2
javascript	j a f a s c r j p t
ciekawszy	tsj e k a v S i2
resztę	r e S t e
obliczem	o b l j tS e m
części	tS eo5 sj tsj i
uznanie	u z n a n i e
ścianach	sj tsj a n a h
magda	m a g d a
pogłowia	p o g w o v i a
bogato	b o g a t o
przekonają	p S e k o n a j oc5
niechlubnie	n i e h l u b n i e
musiały	m u tsj a w i2
opiekę	o p i e k e
mitu	m i t u
znalezienia	z n a l e zj e n i a
zapewniają	z a p e v n i a j oc5
telekomunikacji	t e l e k o m u n i k a c j i
przeszkadzał	p S e S k a dz a w
starego	s t a r e g o
niżej	n i Z e j
wpuszczali	v p u S tS a l j
studium	s t u d j u m
zbliżamy	z b l j Z a m i2
osama	o s a m a
co	c o
diamonds	d j a m o n d s
standardowo	s t a n d a r d o v o
szeleśći	S e l e sj tsj i
ojczyźnie	o j tS i2 zj n i e
owym	o v i2 m
jakby	j a k b i2
jakość	j a k o sj tsj
papieski	p a p i e s k i
zabłąkanych	z a b w oc5 k a n i2 h
śmiech	sj m i e h
biurowym	b i u r o v i2 m
swe	s v e
granice	g r a n i c e
łkającego	w k a j oc5 c e g o
opuszczając	o p u S tS a j oc5 c
obojętnością	o b o j eo5 t n o sj tsj oc5
godności	g o d n o sj tsj i
twego	t f e g o
miesiącami	m i e tsj oc5 c a m i
pisali	p i s a l j
pojawiła	p o j a v i w a
moi	m o i
gwardzistami	g v a r dzj i s t a m i
oczami	o tS a m i
dorosłego	d o r o s w e g o
nazwij	n a z v i j
poznał	p o z n a w
skaczących	s k a tS oc5 c i2 h
znacie	z n a tsj e
pomorski	p o m o r s k i
honorowej	h o n o r o v e j
zagrali	z a g r a l j
fucking	f u c k i n g
ostateczna	o s t a t e tS n a
myślom	m i2 sj l o m
religijnej	r e l j g i j n e j
sława	s w a v a
repertuaru	r e p e r t u a r u
takich	t a k i h
nakapał	n a k a p a w
wszelkich	v S e l k i h
strachu	s t r a h u
gwiazdy	g v i a z d i2
któryś	k t u r i2 sj
fantazją	f a n t a z j oc5
wyłoni	v i2 w o n i
dostarczał	d o s t a r tS a w
wytwornego	v i2 t f o r n e g o
4	tS t
23	d S i2
płacisz	p w a tsj i S
makijażystka	m a k i j a Z i2 s t k a
19	s t eo5 tsj
ciasta	tsj a s t a
zagradzały	z a g r a dz a w i2
wyjeżdża	v i2 j e Z dZ a
środkami	sj r o t k a m i
straconego	s t r a c o n e g o
obrotów	o b r o t u v
wpływu	v p w i2 v u
naukowcy	n a u k o v c i2
używają	u Z i2 v a j oc5
pierwsze	p i e r v S e
żadnym	Z a d n i2 m
znowu	z n o v u
akcji	a k c j i
zyskują	z i2 s k u j oc5
wynalazek	v i2 n a l a z e k
jerozolimie-	j e r o z o l j m i e e
ociężale	o tsj eo5 Z a l e
powoływać	p o v o w i2 v a tsj
zegarek	z e g a r e k
para	p a r a
porównuję	p o r u v n u j e
nieustanną	n i e u s t a n n oc5
zaczęło	z a tS eo5 w o
duchowe	d u h o v e
fausta	f a u s t a
święte	sj v i eo5 t e
myślnika	m i2 sj l n i k a
pozornie	p o z o r n i e
brzydka	b Z i2 t k a
trzymaj	t S i2 m a j
obietnice	o b i e t n i c e
kupię	k u p i e
tenisiści	t e n i s i sj tsj i
niewykluczone-	n i e v i2 k l u tS o n e e
chciało	h tsj a w o
słuch	s w u h
telefon	t e l e f o n
wodorostów	v o d o r o s t u v
wojskami	v o j s k a m i
skłonności	s k w o n n o sj tsj i
teatru	t e a t r u
skomplikowanej	s k o m p l j k o v a n e j
ukończony	u k o n~ tS o n i2
utożsamiają	u t o Z s a m i a j oc5
wygasła-	v i2 g a s w a e
afryce	a f r i2 c e
odwiedził	o d v i e dzj i w
garść	g a r sj tsj
odchodzić	o d h o dzj i tsj
pokazuje	p o k a z u j e
pustce	p u s t c e
synów	s i2 n u v
zastąpił	z a s t oc5 p i w
gwarantuje	g v a r a n t u j e
związane	z v i oc5 z a n e
wstrząsnęło	v s t S oc5 s n eo5 w o
niszczą	n i S tS oc5
obiekty	o b i e k t i2
piaski	p i a s k i
pigułkę	p i g u w k e
szczegół	S tS e g u w
powieść	p o v i e sj tsj
potęgę	p o t eo5 g e
ludzi	l u dzj i
szczęśliwej	S tS eo5 sj l j v e j
perspektywom	p e r s p e k t i2 v o m
sypiasz	s i2 p i a S
prawe	p r a v e
królestwa	k r u l e s t f a
